,education-num,capital-gain,capital-loss,age-range_encoded,workclass_encoded,occupation_encoded,relationship_encoded,race_encoded,sex_encoded,singleormarried_encoded,working-hours-range_encoded,unitedstateorothers_encoded,income-per-year_encoded
136,9,0,0,2,4,2,0,4,1,0,2,1,0
137,11,0,0,0,2,0,5,4,0,0,0,1,0
138,10,0,0,0,2,11,3,4,1,1,0,1,0
139,10,0,0,2,2,2,0,1,1,0,1,1,1
140,9,0,0,4,3,2,0,4,1,0,1,1,0
141,10,0,0,0,2,11,3,4,0,1,1,1,0
142,10,0,0,6,2,7,3,4,1,1,0,0,0
143,11,0,1564,2,2,9,1,4,0,1,1,1,1
144,10,0,0,5,2,12,2,4,1,1,1,1,0
145,9,0,0,1,2,13,4,2,0,1,0,1,0
146,10,0,0,0,2,7,0,4,1,0,0,1,0
147,9,0,0,1,2,7,4,4,0,1,0,1,0
148,7,0,2179,4,2,2,0,4,1,0,1,1,0
150,10,0,0,2,1,0,4,4,0,1,0,0,0
151,9,0,0,1,2,0,1,4,0,1,1,1,0
152,13,0,0,1,2,3,2,1,0,1,1,0,0
153,9,0,0,0,2,2,3,4,1,1,0,1,0
155,9,0,0,2,2,2,0,4,1,0,1,1,0
156,13,0,0,0,2,5,1,4,1,1,1,1,0
157,10,0,1816,5,4,11,4,2,1,1,3,1,0
158,9,0,0,0,2,2,1,4,1,1,2,1,0
159,13,0,0,2,2,7,2,2,1,1,1,1,0
161,9,0,0,0,2,7,4,4,0,1,1,1,0
162,14,0,0,2,3,3,4,1,0,1,1,1,0
163,9,0,0,0,2,3,1,1,0,1,1,0,0
164,14,0,0,2,4,11,0,4,1,0,1,1,1
165,10,0,0,1,2,7,4,4,0,1,1,0,0
166,12,0,0,1,0,3,1,4,1,1,1,1,0
167,14,0,0,2,5,10,4,4,1,1,1,1,0
168,7,0,0,6,2,5,3,4,1,1,3,1,0
169,11,0,0,4,1,9,1,4,0,1,0,1,0
170,9,0,1980,0,2,7,1,4,1,1,1,1,0
171,9,0,0,0,5,10,0,4,1,0,1,1,0
172,10,0,1977,3,2,11,0,4,1,0,1,1,1
173,13,0,0,0,2,2,1,4,1,1,1,1,0
174,13,0,0,0,5,9,0,4,1,0,1,1,1
175,9,0,0,0,2,11,4,4,0,0,0,1,0
176,9,0,0,0,2,2,3,2,1,1,1,1,0
177,9,0,0,1,2,5,1,2,1,1,1,1,0
178,9,0,0,6,2,7,3,4,1,1,3,1,0
179,13,0,0,1,2,9,0,4,1,0,2,1,0
180,10,0,0,2,1,3,0,2,1,0,0,1,1
181,10,0,0,2,2,0,1,4,0,1,1,1,0
182,10,0,0,1,2,2,1,2,1,1,1,1,0
183,4,0,0,2,2,6,0,4,1,0,1,0,1
184,10,0,0,1,0,0,0,4,1,0,1,1,1
185,9,0,0,1,2,0,0,2,1,0,1,1,0
186,13,0,0,2,4,3,1,4,0,1,1,1,0
188,14,0,0,1,2,9,5,4,0,0,1,1,0
189,16,0,0,3,5,9,0,4,1,0,3,1,1
190,10,0,0,1,2,6,1,2,0,1,0,1,0
191,10,0,0,0,2,6,0,4,1,0,1,1,0
192,13,0,0,2,1,2,0,2,1,0,1,1,0
193,10,0,0,2,2,12,0,4,1,0,1,1,0
194,13,0,0,2,0,12,0,4,1,0,0,1,0
195,3,0,0,0,2,13,2,4,1,0,1,0,0
196,10,0,0,1,2,2,1,4,1,1,1,1,0
197,14,14084,0,2,0,3,1,4,0,1,1,1,1
198,14,7298,0,1,2,9,2,4,1,0,1,1,1
199,9,0,0,0,4,11,1,4,1,1,1,1,0
200,14,0,1876,0,2,9,1,4,0,1,1,1,0
202,13,0,0,3,2,3,0,4,1,0,1,1,1
203,10,0,1340,2,1,9,1,4,0,1,1,1,0
204,9,0,0,1,5,0,4,4,0,1,0,1,0
205,7,0,0,6,2,11,3,4,0,1,1,1,0
206,13,7298,0,1,2,7,0,2,1,0,0,1,1
207,9,0,0,1,2,2,1,4,1,1,2,1,0
208,9,15024,0,3,3,11,5,4,0,0,0,1,1
209,7,0,0,6,2,11,3,4,0,1,3,1,0
210,9,0,0,2,1,13,0,2,1,0,1,1,0
211,9,0,0,1,2,2,0,4,1,0,1,1,1
212,10,0,0,1,2,11,1,0,0,1,1,1,0
213,9,0,0,4,2,2,0,1,1,0,1,1,0
214,4,0,0,3,3,6,0,4,1,0,1,1,1
215,13,0,0,1,2,3,1,2,1,1,2,1,1
216,12,0,0,3,2,11,1,4,0,1,1,1,0
217,13,0,0,1,2,11,0,4,1,0,1,0,0
218,13,0,0,2,2,9,0,4,1,0,1,1,0
219,6,0,0,0,2,2,1,4,1,1,1,1,0
220,10,0,0,1,2,5,0,4,1,0,1,1,0
222,9,0,2206,7,2,7,1,2,1,1,1,1,0
223,9,0,0,3,2,0,0,2,1,0,0,1,0
224,1,0,0,3,1,6,1,4,0,1,0,1,0
225,9,0,0,6,2,11,3,4,0,1,1,1,0
227,9,1409,0,4,4,4,0,4,1,0,1,1,0
228,11,0,0,5,2,0,1,4,0,1,0,0,0
229,9,0,0,4,2,0,1,4,0,1,1,1,0
230,7,3674,0,1,2,13,1,2,1,1,1,1,0
231,9,0,0,2,2,11,4,2,0,1,0,1,0
232,10,0,0,0,2,0,1,4,1,1,1,1,0
233,10,0,0,1,2,2,2,3,0,1,1,1,0
234,15,0,0,0,2,9,1,4,1,1,1,1,1
235,9,0,0,3,5,7,0,4,1,0,1,1,0
236,10,0,0,2,5,0,1,4,0,1,0,1,0
237,13,0,0,2,2,3,0,4,1,0,1,0,1
238,14,0,0,1,1,3,0,4,1,0,2,1,1
239,9,0,0,0,2,13,3,4,1,1,1,1,0
240,13,0,0,2,2,9,0,4,1,0,1,1,1
241,9,0,0,2,4,7,5,4,0,0,0,1,0
242,12,0,0,0,5,10,0,4,1,0,1,1,0
244,10,0,1741,1,2,2,1,4,1,1,1,1,0
246,9,0,0,3,2,0,0,4,1,0,1,1,1
247,9,0,0,1,2,7,1,4,0,1,0,1,0
248,12,0,1977,2,2,12,0,4,1,0,2,1,1
250,15,0,0,2,2,9,5,4,0,0,1,1,1
251,13,0,0,2,2,0,5,2,0,0,1,1,0
252,6,0,0,3,1,7,4,2,0,1,0,1,0
253,10,0,0,6,1,0,3,4,1,1,1,1,0
254,10,0,0,3,2,13,1,4,1,1,0,1,0
255,9,0,0,2,4,4,0,1,1,0,1,0,1
256,9,0,0,0,2,7,3,4,0,1,1,1,0
257,9,0,0,1,2,7,1,4,0,1,0,1,0
258,11,0,0,2,2,3,1,4,0,1,1,1,0
259,4,0,0,3,2,2,1,4,1,1,1,1,0
260,13,0,0,1,2,9,3,4,0,1,1,1,0
261,9,0,0,2,2,11,0,4,1,0,2,1,0
262,7,0,0,6,2,7,3,4,1,1,3,1,0
263,10,4064,0,3,2,11,0,4,1,0,1,1,0
264,7,0,0,0,2,2,0,4,1,0,1,1,0
265,10,0,0,1,3,3,0,1,1,0,2,0,1
267,9,0,0,4,2,3,0,4,1,0,1,1,1
268,13,0,0,1,2,9,1,4,0,1,1,1,0
269,9,0,0,1,2,2,5,4,0,0,1,1,1
270,9,0,0,4,2,3,0,4,1,0,1,1,1
271,5,1055,0,6,2,7,3,4,1,1,0,1,0
272,14,2407,0,3,4,4,0,4,1,0,4,1,0
273,14,0,0,0,1,9,3,4,1,1,0,1,0
274,9,0,0,1,2,9,3,4,0,1,1,1,0
275,9,0,0,2,2,5,0,2,1,0,1,1,0
276,10,7298,0,2,2,2,0,4,1,0,1,1,1
277,10,0,0,1,2,3,1,4,0,1,1,1,0
278,10,0,0,0,2,12,3,4,0,1,1,1,0
279,10,7298,0,0,2,6,5,4,0,0,1,1,1
280,13,0,0,0,2,9,1,4,0,1,3,0,0
281,10,5178,0,2,1,2,0,4,1,0,1,1,1
282,12,0,0,1,2,11,4,2,0,1,1,1,0
283,13,0,0,4,2,9,1,4,0,1,1,1,0
284,9,0,0,0,2,5,3,4,1,1,1,1,0
285,14,15024,0,3,0,11,0,4,1,0,1,1,1
286,15,0,0,2,2,9,0,4,1,0,2,1,1
287,10,0,0,3,2,7,1,4,1,1,1,1,0
288,13,0,0,0,2,3,1,4,0,1,1,1,0
289,4,0,0,3,2,2,0,4,1,0,1,0,0
290,13,0,0,1,2,9,0,4,1,0,1,1,0
291,9,0,0,1,2,9,1,4,0,1,1,1,0
292,13,0,0,0,1,10,1,4,1,1,1,1,0
293,10,0,0,0,2,11,3,4,1,1,1,1,0
294,13,0,0,0,2,12,4,2,0,1,1,1,0
295,9,0,0,4,2,13,0,4,1,0,3,1,0
296,13,0,0,1,3,11,1,4,0,1,2,1,0
298,9,0,0,0,2,2,3,4,1,1,1,1,0
299,9,0,0,1,2,11,1,4,1,1,4,1,0
300,13,7688,0,2,2,0,0,4,1,0,1,1,1
301,10,0,0,0,2,7,1,1,0,1,0,1,0
302,9,0,0,1,2,13,0,4,1,0,1,1,1
303,9,4386,0,3,2,11,0,4,1,0,1,1,1
304,10,0,0,0,2,0,5,1,0,0,1,0,0
305,9,0,0,2,2,0,1,4,0,1,1,1,0
306,12,0,0,0,2,12,1,4,1,1,1,1,0
307,12,0,0,2,2,9,1,4,0,1,0,1,0
308,12,0,0,1,2,0,0,4,1,0,1,1,1
309,10,0,0,2,3,4,0,4,1,0,1,1,1
310,13,0,0,0,2,11,1,4,1,1,1,1,0
311,14,7298,0,1,2,3,0,1,1,0,0,0,1
313,13,0,0,1,4,9,1,2,0,1,1,1,1
314,10,0,0,0,2,11,3,4,1,1,3,1,0
315,10,0,0,0,2,6,1,4,1,1,1,1,0
316,10,0,0,5,4,11,0,4,1,0,1,1,0
317,3,0,0,0,2,6,2,4,0,0,1,0,0
318,10,0,0,0,2,12,1,4,0,1,1,1,0
319,9,0,0,4,2,7,1,4,0,1,0,1,0
320,9,0,0,1,4,3,0,4,1,0,1,1,0
321,10,0,1485,2,2,2,0,4,1,0,1,1,0
322,9,0,0,1,2,13,1,4,1,1,1,1,0
323,7,0,0,0,2,3,1,4,0,1,1,1,0
324,14,0,0,5,4,2,0,4,1,0,3,1,0
325,9,0,0,4,4,4,0,4,1,0,1,1,0
327,10,0,1887,2,2,9,5,4,0,0,1,1,1
328,9,0,0,3,4,5,0,4,1,0,1,1,0
329,9,2050,0,4,2,13,1,4,1,1,1,1,0
330,10,0,0,2,2,2,1,2,1,1,1,1,0
331,13,0,0,0,2,0,1,4,1,1,1,1,0
332,11,0,0,2,2,7,1,4,1,1,1,1,0
333,6,0,0,3,1,0,0,4,1,0,1,1,0
334,9,0,0,3,2,13,0,4,1,0,1,1,0
335,3,0,0,6,2,7,2,4,1,1,1,0,0
336,9,0,0,1,2,2,2,4,1,1,1,1,0
337,14,0,0,2,2,9,1,4,1,1,2,1,0
338,9,0,0,6,2,11,4,2,1,1,0,0,0
339,9,0,0,2,2,7,0,2,1,0,1,1,0
340,12,0,0,0,2,11,1,4,1,1,1,1,0
341,11,7298,0,1,2,2,0,4,1,0,1,1,1
342,9,7298,0,1,5,10,0,4,1,0,1,1,1
343,9,0,0,1,2,4,1,4,1,1,0,1,0
344,10,0,0,0,5,10,3,2,0,1,1,1,0
345,13,0,0,2,4,11,1,4,1,1,1,1,0
348,12,0,0,3,2,7,1,4,1,0,0,0,0
349,13,0,0,1,2,9,3,4,1,1,0,1,0
350,13,0,0,1,2,3,0,4,1,0,1,1,1
351,9,0,0,0,2,7,0,4,1,0,1,1,0
352,13,0,0,1,2,3,0,4,1,0,1,1,1
353,7,0,0,2,1,13,0,4,1,0,0,1,0
355,9,0,0,1,0,0,0,4,1,0,1,1,1
356,7,0,0,4,2,7,4,3,1,1,1,1,0
357,11,0,0,2,2,12,0,4,1,0,1,1,1
358,9,0,0,2,2,0,5,4,0,0,0,1,0
359,5,0,0,0,4,2,0,4,1,0,1,0,0
360,6,0,0,1,2,7,5,4,0,0,0,1,0
361,14,0,0,4,2,9,0,4,1,0,1,1,1
362,13,0,0,2,2,13,0,4,1,0,1,1,0
363,13,0,1564,2,2,3,1,4,1,1,1,1,1
364,9,0,0,0,2,11,1,4,1,0,1,1,0
365,9,0,0,0,2,2,0,4,1,0,1,1,0
366,10,0,0,3,4,11,0,4,1,0,1,1,0
367,12,0,0,0,2,11,1,4,0,1,3,1,0
368,13,0,0,3,2,3,1,4,0,1,1,1,1
369,9,0,0,1,2,11,4,4,0,1,1,1,0
370,10,0,0,0,0,0,4,4,0,1,3,1,0
371,7,0,0,6,2,7,3,4,1,1,3,1,0
372,11,0,0,2,5,6,0,4,1,0,0,1,1
373,9,0,0,2,2,6,0,2,1,0,1,1,0
374,9,0,0,2,2,2,1,2,1,1,1,1,0
375,10,0,0,0,1,0,3,4,0,1,3,1,0
376,9,0,0,1,2,2,5,4,0,0,1,1,0
377,10,0,0,0,2,11,1,4,1,1,1,1,0
378,14,0,0,2,4,3,1,4,1,1,0,1,0
379,9,0,0,1,2,11,0,4,1,0,1,1,0
380,9,0,0,3,2,13,1,4,1,1,1,1,0
381,3,0,2339,2,2,2,1,4,0,1,1,1,0
382,10,0,0,0,2,2,0,4,1,0,1,1,0
383,10,0,0,2,2,11,1,4,0,1,1,1,0
384,10,0,0,1,1,13,5,4,0,0,1,1,0
385,9,0,0,0,2,7,1,4,0,1,0,1,0
386,9,0,0,0,2,6,1,4,1,1,1,1,0
387,10,0,2415,2,2,0,5,4,0,0,3,1,1
388,10,0,0,6,2,0,3,4,0,1,3,1,0
389,9,0,0,6,2,7,2,4,0,1,1,1,0
390,9,0,0,1,2,7,5,4,0,0,1,1,1
391,13,0,0,0,2,2,1,4,1,1,1,1,0
392,12,0,0,2,4,2,1,4,1,1,1,1,0
394,9,0,0,1,2,7,1,4,0,1,0,1,0
395,10,0,0,2,2,12,0,4,1,0,1,1,0
396,10,0,0,2,2,5,4,4,0,1,1,1,0
398,13,0,0,0,2,3,0,4,1,0,1,1,1
399,13,0,0,3,3,3,0,4,1,0,1,1,1
400,10,0,0,0,2,5,3,4,1,1,1,1,0
401,10,0,0,0,2,7,1,4,0,1,1,1,0
402,13,0,0,3,5,10,0,4,1,0,1,1,1
403,11,0,0,1,2,12,1,4,0,1,2,1,0
404,4,0,2179,0,2,5,0,3,1,0,1,0,0
405,14,0,1977,2,2,3,0,4,1,0,2,1,1
406,9,0,0,0,2,0,0,4,1,0,1,1,0
407,9,0,0,2,4,2,0,4,1,0,0,1,0
409,10,0,0,1,2,3,0,4,1,0,1,1,0
410,10,0,0,2,1,7,1,2,0,1,0,1,0
411,9,0,0,0,2,5,4,2,0,1,1,1,0
412,10,0,0,1,2,3,4,4,0,1,1,1,0
413,16,15024,0,2,2,3,0,4,1,0,2,1,1
414,10,0,0,1,5,6,0,4,1,0,1,1,0
415,8,0,0,1,2,2,1,4,1,1,1,1,1
416,2,0,0,3,2,6,0,4,1,0,1,0,0
417,7,0,0,1,2,7,3,4,0,1,3,1,0
418,7,0,0,1,1,6,1,2,1,1,1,1,0
419,9,0,0,1,5,13,4,4,0,1,1,1,0
420,10,0,0,0,2,11,0,4,1,0,0,1,0
421,7,2176,0,6,2,5,3,4,1,1,3,1,0
422,13,0,0,1,5,3,5,4,0,0,1,1,1
423,9,0,0,0,2,4,1,4,1,1,1,1,0
424,6,0,0,1,2,2,4,4,0,1,0,1,0
425,9,0,0,0,2,13,0,4,1,0,2,1,0
426,14,0,1408,1,0,9,1,4,1,1,1,1,0
427,9,0,0,0,2,5,1,4,1,1,2,0,0
428,9,0,0,4,3,3,0,4,1,0,1,1,1
429,14,0,0,2,1,9,0,4,1,0,1,1,0
432,13,2174,0,2,4,9,1,4,0,0,1,1,0
433,12,0,0,1,2,7,5,4,0,0,0,1,1
434,10,0,1980,0,2,2,3,1,1,1,1,0,0
435,14,0,0,1,2,9,0,4,1,0,1,1,1
436,9,594,0,1,1,4,1,2,1,1,2,1,0
437,10,0,0,1,1,10,1,4,0,1,1,1,0
438,10,0,0,0,2,0,0,4,1,0,1,1,0
439,10,0,0,2,1,0,5,4,0,0,1,1,0
440,13,0,0,0,2,9,1,4,1,1,1,1,0
441,9,0,0,2,2,0,1,4,0,1,0,1,0
442,9,0,0,0,0,1,3,4,1,1,1,1,0
443,10,0,0,2,2,9,0,4,1,0,1,1,1
444,5,0,0,0,2,2,2,4,1,1,1,0,0
445,10,0,0,0,2,11,1,4,1,1,0,1,0
446,9,0,0,2,2,3,4,2,0,1,1,1,0
447,9,0,0,3,2,2,0,0,1,0,1,1,0
448,9,0,0,0,2,6,0,4,1,0,1,1,0
450,9,0,0,6,2,6,3,2,0,1,1,1,0
451,10,0,0,2,3,2,0,4,1,0,1,1,1
452,9,0,0,4,2,2,0,4,1,0,1,1,1
454,9,0,0,2,4,11,5,4,0,0,1,1,1
455,11,0,0,2,2,6,0,1,1,0,1,1,1
456,9,0,0,1,2,3,5,4,0,0,1,1,0
457,10,0,0,1,2,13,0,2,1,0,1,1,0
458,9,0,0,0,2,13,0,4,1,0,2,1,0
460,12,0,0,2,2,4,3,4,1,1,1,1,0
461,9,0,0,3,1,13,0,2,1,0,1,1,0
462,13,0,0,1,2,9,0,4,1,0,1,1,0
463,2,0,0,3,2,2,4,4,1,0,1,1,0
464,13,0,0,0,2,12,1,4,0,1,0,1,0
465,9,0,0,1,2,0,5,4,0,0,2,1,0
466,9,0,0,3,2,13,4,4,1,1,1,1,0
467,10,0,0,1,2,13,0,4,1,0,1,1,0
468,14,0,1977,2,2,3,0,4,1,0,1,1,1
469,13,0,0,1,2,12,5,4,0,0,3,1,1
470,10,0,0,4,2,9,4,4,1,1,1,1,1
472,9,0,0,1,2,2,1,4,1,1,1,1,0
473,9,0,0,1,2,13,1,4,1,1,2,1,0
474,11,0,0,4,2,7,1,4,0,1,0,1,0
475,13,0,0,2,2,2,1,4,0,1,1,1,0
476,5,0,0,6,2,7,1,4,1,1,3,1,0
477,10,0,0,0,2,5,3,4,1,1,0,1,0
478,6,0,0,0,2,7,1,4,1,1,1,1,0
479,9,0,0,0,2,7,4,4,0,1,0,1,0
480,12,0,0,1,2,2,0,4,1,0,1,0,0
481,10,0,0,2,4,2,0,4,1,0,0,1,0
482,13,0,0,0,5,9,1,4,1,1,0,1,0
483,9,0,0,2,2,2,4,4,0,0,1,1,0
485,10,0,0,0,2,0,3,2,0,0,0,1,0
487,9,0,0,3,1,13,0,4,1,0,1,1,0
488,13,0,0,2,1,9,4,4,0,1,1,1,0
489,13,15024,0,1,2,11,0,4,1,0,2,1,1
490,9,0,0,2,2,7,1,4,0,1,0,1,0
491,9,0,0,2,0,0,1,4,1,1,1,1,0
492,12,0,0,1,2,3,1,4,0,1,2,1,0
493,9,0,0,1,2,9,4,4,0,1,0,1,0
494,13,0,0,1,2,2,3,4,1,1,0,1,0
495,9,0,0,2,2,0,4,4,0,1,0,1,0
496,10,0,0,0,2,6,3,4,1,1,1,1,0
497,3,0,0,0,2,7,3,4,1,1,1,0,0
498,10,0,0,0,2,9,1,4,0,1,0,1,0
500,9,0,0,0,1,4,1,4,1,1,1,0,0
501,9,0,0,4,1,13,0,4,1,0,1,1,0
502,10,0,0,3,2,0,0,4,1,0,1,1,0
503,10,0,0,3,2,7,4,4,0,1,1,0,0
504,13,0,0,0,2,11,1,4,0,1,1,1,0
505,13,0,0,0,2,3,1,2,1,1,1,1,0
506,10,0,0,6,2,10,3,4,1,1,3,1,0
507,10,0,0,2,2,3,0,4,1,0,1,1,0
508,9,0,0,2,1,0,4,2,0,1,1,1,0
509,9,0,0,1,2,7,4,4,0,1,1,1,0
510,11,0,1380,2,2,5,4,4,1,0,1,1,0
512,11,0,0,1,2,2,1,4,1,1,1,1,0
513,10,0,0,1,2,9,0,4,1,0,1,1,1
514,9,0,0,0,2,2,1,4,1,1,1,1,0
516,10,0,0,0,2,0,1,0,0,1,0,1,0
519,13,0,0,1,2,9,0,4,1,0,1,1,1
520,13,15024,0,1,3,3,0,4,1,0,4,1,1
521,9,7688,0,3,2,3,0,4,1,0,1,1,1
522,10,0,0,0,1,5,1,2,1,1,1,1,0
523,10,0,0,1,1,12,0,4,1,0,1,1,1
524,10,0,0,2,2,6,4,4,1,1,1,1,1
525,10,0,0,0,2,11,5,4,0,0,1,1,0
526,13,0,0,2,2,3,0,4,1,0,1,1,1
527,10,0,0,5,2,0,1,4,0,1,3,1,0
528,9,0,0,1,4,2,0,4,1,0,1,1,0
529,14,0,0,2,4,9,0,4,1,0,1,1,0
530,7,0,0,2,2,6,4,3,0,1,1,0,0
531,9,0,0,0,2,6,1,4,1,1,1,1,0
532,9,0,0,1,2,7,0,2,1,0,1,1,0
